BranchPredictor,Benchmark,IL1_Misses,DL1_Misses,L2_Misses,Total_Instructions,BTBMissPct,BranchMispredPercent,CPI
LocalBP,401.bzip2,1547,9494831,2637420,500000001,0.001850,3.471987,1.611915
LocalBP,429.mcf,1094,23287055,6317742,500000001,0.426543,6.700281,2.476602
LocalBP,456.hmmer,2131,224040,7290,500000003,0.024440,8.994815,1.005690
LocalBP,458.sjeng,4469,8455626,8377894,500000002,1.878460,7.154715,2.509665
LocalBP,470.lbm,874,7185582,7148387,500000000,0.006876,0.567067,2.287471
BiModeBP,401.bzip2,1705,9496213,2637643,500000001,0.002621,3.181095,1.611981
BiModeBP,429.mcf,1170,23331793,6317672,500000001,0.008226,4.220846,2.477487
BiModeBP,456.hmmer,2364,223995,7323,500000006,0.042648,6.335698,1.005699
BiModeBP,458.sjeng,4613,8455212,8377918,500000002,1.238990,4.986274,2.509663
BiModeBP,470.lbm,936,7163095,7148085,500000000,0.006064,0.344785,2.286974
